transaction_id,date,product_name,category,unit_price,quantity,total_amount,region
TRX-1000,2024-03-19,iPhone 15 Pro,Electronics,41900,2,83800,Khon Kaen
TRX-1001,2024-01-06,iPhone 15 Pro,Electronics,41900,1,41900,Khon Kaen
TRX-1002,2024-01-21,Dell XPS 13,Computers,55000,2,110000,Khon Kaen
TRX-1003,2024-01-23,Samsung S24 Ultra,Electronics,45900,1,45900,Chiang Mai
TRX-1004,2024-01-13,Logitech MX Master 3S,Accessories,3900,2,7800,Phuket
TRX-1005,2024-02-21,Sony WH-1000XM5,Accessories,11900,3,35700,Khon Kaen
TRX-1006,2024-03-20,Samsung S24 Ultra,Electronics,45900,2,91800,Phuket
TRX-1007,2024-02-09,Sony WH-1000XM5,Accessories,11900,2,23800,Khon Kaen
TRX-1008,2024-01-04,Logitech MX Master 3S,Accessories,3900,1,3900,Phuket
TRX-1009,2024-01-07,MacBook Air M2,Computers,34900,2,69800,Phuket
TRX-1010,2024-02-27,Logitech MX Master 3S,Accessories,3900,1,3900,Bangkok
TRX-1011,2024-02-12,Samsung S24 Ultra,Electronics,45900,3,137700,Khon Kaen
TRX-1012,2024-03-11,Dell XPS 13,Computers,55000,2,110000,Chiang Mai
TRX-1013,2024-03-24,Dell XPS 13,Computers,55000,2,110000,Bangkok
TRX-1014,2024-03-17,MacBook Air M2,Computers,34900,2,69800,Khon Kaen
TRX-1015,2024-03-20,Sony WH-1000XM5,Accessories,11900,1,11900,Bangkok
TRX-1016,2024-03-25,iPhone 15 Pro,Electronics,41900,2,83800,Khon Kaen
TRX-1017,2024-01-18,Samsung S24 Ultra,Electronics,45900,2,91800,Bangkok
TRX-1018,2024-02-29,Sony WH-1000XM5,Accessories,11900,2,23800,Phuket
TRX-1019,2024-03-19,Dell XPS 13,Computers,55000,2,110000,Khon Kaen
TRX-1020,2024-01-04,Dell XPS 13,Computers,55000,3,165000,Chiang Mai
TRX-1021,2024-01-29,MacBook Air M2,Computers,34900,1,34900,Phuket
TRX-1022,2024-02-12,Dell XPS 13,Computers,55000,1,55000,Chiang Mai
TRX-1023,2024-02-02,Sony WH-1000XM5,Accessories,11900,3,35700,Chiang Mai
TRX-1024,2024-01-27,iPhone 15 Pro,Electronics,41900,1,41900,Bangkok
TRX-1025,2024-03-11,Samsung S24 Ultra,Electronics,45900,1,45900,Phuket
TRX-1026,2024-02-16,Sony WH-1000XM5,Accessories,11900,2,23800,Bangkok
TRX-1027,2024-03-04,Dell XPS 13,Computers,55000,1,55000,Chiang Mai
TRX-1028,2024-01-31,Samsung S24 Ultra,Electronics,45900,2,91800,Bangkok
TRX-1029,2024-03-18,MacBook Air M2,Computers,34900,3,104700,Bangkok
TRX-1030,2024-03-06,Sony WH-1000XM5,Accessories,11900,1,11900,Bangkok
TRX-1031,2024-02-14,iPhone 15 Pro,Electronics,41900,2,83800,Chiang Mai
TRX-1032,2024-01-09,Samsung S24 Ultra,Electronics,45900,1,45900,Khon Kaen
TRX-1033,2024-01-23,Dell XPS 13,Computers,55000,2,110000,Bangkok
TRX-1034,2024-03-24,MacBook Air M2,Computers,34900,1,34900,Chiang Mai
TRX-1035,2024-03-07,Samsung S24 Ultra,Electronics,45900,2,91800,Phuket
TRX-1036,2024-03-16,Samsung S24 Ultra,Electronics,45900,3,137700,Phuket
TRX-1037,2024-03-28,Logitech MX Master 3S,Accessories,3900,1,3900,Chiang Mai
TRX-1038,2024-01-27,Dell XPS 13,Computers,55000,3,165000,Khon Kaen
TRX-1039,2024-01-24,Sony WH-1000XM5,Accessories,11900,1,11900,Bangkok
TRX-1040,2024-01-24,MacBook Air M2,Computers,34900,2,69800,Bangkok
TRX-1041,2024-01-21,Samsung S24 Ultra,Electronics,45900,1,45900,Chiang Mai
TRX-1042,2024-01-07,iPhone 15 Pro,Electronics,41900,1,41900,Khon Kaen
TRX-1043,2024-01-26,Samsung S24 Ultra,Electronics,45900,1,45900,Chiang Mai
TRX-1044,2024-02-15,Dell XPS 13,Computers,55000,3,165000,Phuket
TRX-1045,2024-02-08,Logitech MX Master 3S,Accessories,3900,2,7800,Phuket
TRX-1046,2024-03-08,Logitech MX Master 3S,Accessories,3900,1,3900,Chiang Mai
TRX-1047,2024-03-06,MacBook Air M2,Computers,34900,2,69800,Bangkok
TRX-1048,2024-03-03,Sony WH-1000XM5,Accessories,11900,1,11900,Bangkok
TRX-1049,2024-02-06,Dell XPS 13,Computers,55000,2,110000,Chiang Mai
TRX-1050,2024-03-21,Dell XPS 13,Computers,55000,1,55000,Chiang Mai
TRX-1051,2024-01-08,Dell XPS 13,Computers,55000,3,165000,Bangkok
TRX-1052,2024-01-25,Samsung S24 Ultra,Electronics,45900,2,91800,Phuket
TRX-1053,2024-03-11,Samsung S24 Ultra,Electronics,45900,1,45900,Khon Kaen
TRX-1054,2024-02-27,iPhone 15 Pro,Electronics,41900,3,125700,Phuket
TRX-1055,2024-01-24,Sony WH-1000XM5,Accessories,11900,3,35700,Bangkok
TRX-1056,2024-01-21,Sony WH-1000XM5,Accessories,11900,3,35700,Bangkok
TRX-1057,2024-02-20,Dell XPS 13,Computers,55000,1,55000,Phuket
TRX-1058,2024-03-30,Logitech MX Master 3S,Accessories,3900,3,11700,Chiang Mai
TRX-1059,2024-02-29,Dell XPS 13,Computers,55000,1,55000,Khon Kaen
TRX-1060,2024-01-25,Logitech MX Master 3S,Accessories,3900,1,3900,Khon Kaen
TRX-1061,2024-02-06,MacBook Air M2,Computers,34900,3,104700,Khon Kaen
TRX-1062,2024-03-30,Samsung S24 Ultra,Electronics,45900,1,45900,Chiang Mai
TRX-1063,2024-03-30,MacBook Air M2,Computers,34900,1,34900,Chiang Mai
TRX-1064,2024-01-29,iPhone 15 Pro,Electronics,41900,3,125700,Phuket
TRX-1065,2024-03-29,iPhone 15 Pro,Electronics,41900,2,83800,Chiang Mai
TRX-1066,2024-02-08,iPhone 15 Pro,Electronics,41900,3,125700,Chiang Mai
